Attempt#,Final score,Max tile,Time,TimesDown,Method
1,1036.0,128.0,8.0,0.0,Circle
2,1732.0,128.0,12.0,0.0,Circle
3,1588.0,128.0,11.0,0.0,Circle
4,2400.0,256.0,17.0,0.0,Circle
5,2672.0,256.0,18.0,0.0,Circle
6,3220.0,256.0,20.0,0.0,Circle
7,1424.0,128.0,12.0,0.0,Circle
8,2380.0,256.0,17.0,0.0,Circle
9,2304.0,256.0,14.0,0.0,Circle
10,3040.0,256.0,20.0,0.0,Circle
11,1412.0,128.0,13.0,0.0,Circle
12,696.0,64.0,7.0,0.0,Circle
13,2792.0,256.0,17.0,0.0,Circle
14,5392.0,512.0,31.0,0.0,Circle
15,2504.0,256.0,16.0,0.0,Circle
16,2316.0,256.0,14.0,0.0,Circle
17,2308.0,256.0,15.0,0.0,Circle
18,2492.0,256.0,14.0,0.0,Circle
19,1508.0,128.0,13.0,0.0,Circle
20,3272.0,256.0,20.0,0.0,Circle
21,3076.0,256.0,19.0,0.0,Circle
22,540.0,64.0,6.0,0.0,Circle
23,1376.0,128.0,10.0,0.0,Circle
24,2684.0,256.0,19.0,0.0,Circle
25,2312.0,256.0,13.0,0.0,Circle
26,1128.0,128.0,11.0,0.0,Circle
27,2788.0,256.0,17.0,0.0,Circle
28,1444.0,128.0,11.0,0.0,Circle
29,5176.0,512.0,28.0,0.0,Circle
30,2988.0,256.0,20.0,0.0,Circle
31,1404.0,128.0,10.0,0.0,Circle
32,2704.0,256.0,19.0,0.0,Circle
33,1136.0,128.0,10.0,0.0,Circle
34,1088.0,128.0,11.0,0.0,Circle
35,1176.0,128.0,11.0,0.0,Circle
36,2708.0,256.0,16.0,0.0,Circle
37,5412.0,512.0,32.0,0.0,Circle
38,5780.0,512.0,32.0,0.0,Circle
39,1348.0,128.0,9.0,0.0,Circle
40,2496.0,256.0,17.0,0.0,Circle
41,1296.0,128.0,10.0,0.0,Circle
42,3088.0,256.0,19.0,0.0,Circle
43,3208.0,256.0,19.0,0.0,Circle
44,3064.0,256.0,19.0,0.0,Circle
45,3168.0,256.0,22.0,0.0,Circle
46,1688.0,128.0,10.0,0.0,Circle
47,1720.0,128.0,15.0,0.0,Circle
48,1440.0,128.0,11.0,0.0,Circle
49,2612.0,256.0,17.0,0.0,Circle
50,3308.0,256.0,20.0,0.0,Circle
51,1640.0,128.0,12.0,0.0,Circle
52,2620.0,256.0,17.0,0.0,Circle
53,3056.0,256.0,23.0,0.0,Circle
54,1392.0,128.0,8.0,0.0,Circle
55,3064.0,256.0,23.0,0.0,Circle
56,1324.0,128.0,11.0,0.0,Circle
57,3052.0,256.0,20.0,0.0,Circle
58,3072.0,256.0,21.0,0.0,Circle
59,2384.0,256.0,18.0,0.0,Circle
60,1616.0,128.0,11.0,0.0,Circle
1,12396.0,1024.0,142.0,2.0,FirstWin
2,6468.0,512.0,89.0,4.0,FirstWin
3,7444.0,512.0,98.0,1.0,FirstWin
4,5020.0,256.0,71.0,1.0,FirstWin
5,6480.0,512.0,84.0,1.0,FirstWin
6,5864.0,512.0,81.0,1.0,FirstWin
7,5484.0,512.0,71.0,0.0,FirstWin
8,3872.0,256.0,62.0,1.0,FirstWin
9,2156.0,128.0,43.0,1.0,FirstWin
10,5864.0,512.0,82.0,1.0,FirstWin
11,7264.0,512.0,104.0,1.0,FirstWin
12,8076.0,512.0,108.0,0.0,FirstWin
13,5756.0,256.0,96.0,2.0,FirstWin
14,3656.0,256.0,57.0,1.0,FirstWin
15,3908.0,256.0,59.0,0.0,FirstWin
16,5996.0,512.0,85.0,2.0,FirstWin
17,7596.0,512.0,111.0,1.0,FirstWin
18,4520.0,512.0,62.0,0.0,FirstWin
19,5332.0,256.0,79.0,1.0,FirstWin
20,7344.0,512.0,110.0,0.0,FirstWin
21,3884.0,256.0,65.0,1.0,FirstWin
22,6408.0,512.0,122.0,2.0,FirstWin
23,7344.0,512.0,114.0,1.0,FirstWin
24,12152.0,1024.0,157.0,1.0,FirstWin
25,9464.0,512.0,137.0,1.0,FirstWin
26,9852.0,512.0,143.0,1.0,FirstWin
27,7028.0,512.0,101.0,0.0,FirstWin
28,6580.0,512.0,109.0,2.0,FirstWin
29,17184.0,1024.0,235.0,3.0,FirstWin
30,7432.0,512.0,113.0,1.0,FirstWin
31,7260.0,512.0,100.0,2.0,FirstWin
32,1356.0,128.0,31.0,0.0,FirstWin
33,9816.0,512.0,118.0,0.0,FirstWin
34,6036.0,512.0,72.0,1.0,FirstWin
35,8128.0,512.0,93.0,2.0,FirstWin
36,9480.0,512.0,105.0,0.0,FirstWin
37,7448.0,512.0,82.0,0.0,FirstWin
38,13160.0,1024.0,122.0,0.0,FirstWin
39,16084.0,1024.0,152.0,1.0,FirstWin
40,6808.0,512.0,84.0,1.0,FirstWin
41,7820.0,512.0,88.0,0.0,FirstWin
42,5892.0,512.0,70.0,2.0,FirstWin
43,8068.0,512.0,100.0,2.0,FirstWin
44,7600.0,512.0,85.0,1.0,FirstWin
45,7420.0,512.0,89.0,2.0,FirstWin
46,2608.0,256.0,35.0,0.0,FirstWin
47,7864.0,512.0,91.0,1.0,FirstWin
48,4696.0,512.0,53.0,1.0,FirstWin
49,8880.0,512.0,93.0,2.0,FirstWin
50,8100.0,512.0,86.0,0.0,FirstWin
51,10692.0,1024.0,128.0,0.0,FirstWin
52,8340.0,512.0,93.0,0.0,FirstWin
53,8648.0,512.0,123.0,1.0,FirstWin
54,9668.0,512.0,131.0,1.0,FirstWin
55,6612.0,512.0,79.0,0.0,FirstWin
56,8352.0,512.0,114.0,2.0,FirstWin
57,6884.0,512.0,102.0,0.0,FirstWin
58,3208.0,256.0,59.0,1.0,FirstWin
59,7816.0,512.0,120.0,3.0,FirstWin
60,20348.0,2048.0,213.0,1.0,FirstWin
1,528.0,32.0,14.0,0.0,Random
2,2368.0,256.0,33.0,0.0,Random
3,1164.0,128.0,24.0,0.0,Random
4,572.0,64.0,13.0,0.0,Random
5,752.0,64.0,17.0,0.0,Random
6,1208.0,128.0,21.0,0.0,Random
7,2056.0,256.0,28.0,0.0,Random
8,888.0,64.0,18.0,0.0,Random
9,856.0,64.0,16.0,0.0,Random
10,572.0,64.0,13.0,0.0,Random
11,1264.0,128.0,21.0,0.0,Random
12,1560.0,128.0,25.0,0.0,Random
13,360.0,32.0,11.0,0.0,Random
14,1496.0,128.0,25.0,0.0,Random
15,1192.0,128.0,21.0,0.0,Random
16,460.0,64.0,10.0,0.0,Random
17,284.0,32.0,8.0,0.0,Random
18,756.0,64.0,17.0,0.0,Random
19,860.0,64.0,15.0,0.0,Random
20,1272.0,128.0,23.0,0.0,Random
21,948.0,128.0,16.0,0.0,Random
22,756.0,64.0,16.0,0.0,Random
23,1532.0,128.0,28.0,0.0,Random
24,1344.0,128.0,22.0,0.0,Random
25,652.0,64.0,15.0,0.0,Random
26,2132.0,256.0,28.0,0.0,Random
27,476.0,32.0,14.0,0.0,Random
28,1312.0,128.0,22.0,0.0,Random
29,1028.0,64.0,22.0,0.0,Random
30,1036.0,64.0,22.0,0.0,Random
31,284.0,32.0,9.0,0.0,Random
32,1344.0,128.0,22.0,0.0,Random
33,328.0,32.0,10.0,0.0,Random
34,1248.0,128.0,20.0,0.0,Random
35,1060.0,128.0,19.0,0.0,Random
36,380.0,32.0,9.0,0.0,Random
37,896.0,64.0,20.0,0.0,Random
38,1756.0,128.0,27.0,0.0,Random
39,1364.0,128.0,24.0,0.0,Random
40,1160.0,128.0,18.0,0.0,Random
41,1160.0,128.0,22.0,0.0,Random
42,416.0,32.0,12.0,0.0,Random
43,920.0,64.0,20.0,0.0,Random
44,652.0,64.0,14.0,0.0,Random
45,2380.0,256.0,31.0,0.0,Random
46,952.0,128.0,17.0,0.0,Random
47,1800.0,128.0,29.0,0.0,Random
48,1400.0,128.0,24.0,0.0,Random
49,608.0,64.0,13.0,0.0,Random
50,628.0,64.0,15.0,0.0,Random
51,652.0,64.0,15.0,0.0,Random
52,976.0,128.0,18.0,0.0,Random
53,372.0,32.0,11.0,0.0,Random
54,560.0,64.0,12.0,0.0,Random
55,1140.0,128.0,20.0,0.0,Random
56,1376.0,128.0,26.0,0.0,Random
57,924.0,128.0,18.0,0.0,Random
58,1136.0,128.0,20.0,0.0,Random
59,2020.0,256.0,29.0,0.0,Random
60,1068.0,128.0,20.0,0.0,Random
1,3656.0,256.0,22.0,0.0,TopCircle
2,5136.0,512.0,31.0,1.0,TopCircle
3,4744.0,512.0,23.0,0.0,TopCircle
4,3852.0,256.0,24.0,0.0,TopCircle
5,6296.0,512.0,35.0,0.0,TopCircle
6,5888.0,512.0,28.0,0.0,TopCircle
7,7204.0,512.0,41.0,1.0,TopCircle
8,6600.0,512.0,42.0,3.0,TopCircle
9,5988.0,512.0,37.0,2.0,TopCircle
10,4252.0,256.0,30.0,1.0,TopCircle
11,3284.0,256.0,21.0,0.0,TopCircle
12,3984.0,256.0,23.0,0.0,TopCircle
13,5700.0,512.0,31.0,0.0,TopCircle
14,4244.0,256.0,29.0,1.0,TopCircle
15,5512.0,512.0,32.0,1.0,TopCircle
16,4276.0,256.0,25.0,0.0,TopCircle
17,1948.0,128.0,16.0,0.0,TopCircle
18,8180.0,512.0,45.0,1.0,TopCircle
19,1244.0,64.0,10.0,0.0,TopCircle
20,2836.0,256.0,19.0,0.0,TopCircle
21,3492.0,256.0,25.0,1.0,TopCircle
22,2016.0,128.0,16.0,0.0,TopCircle
23,3464.0,256.0,24.0,0.0,TopCircle
24,3304.0,256.0,21.0,1.0,TopCircle
25,6320.0,512.0,34.0,0.0,TopCircle
26,3460.0,256.0,26.0,1.0,TopCircle
27,3292.0,256.0,26.0,1.0,TopCircle
28,3220.0,256.0,21.0,0.0,TopCircle
29,3812.0,256.0,25.0,0.0,TopCircle
30,3612.0,256.0,24.0,1.0,TopCircle
31,3856.0,256.0,25.0,0.0,TopCircle
32,6816.0,512.0,42.0,2.0,TopCircle
33,7544.0,512.0,41.0,0.0,TopCircle
34,2764.0,128.0,22.0,1.0,TopCircle
35,3520.0,256.0,29.0,1.0,TopCircle
36,3188.0,256.0,25.0,1.0,TopCircle
37,6972.0,512.0,39.0,0.0,TopCircle
38,7216.0,512.0,42.0,1.0,TopCircle
39,5612.0,512.0,33.0,1.0,TopCircle
40,3244.0,256.0,22.0,0.0,TopCircle
41,2580.0,128.0,22.0,1.0,TopCircle
42,2260.0,128.0,19.0,0.0,TopCircle
43,6304.0,512.0,36.0,0.0,TopCircle
44,6544.0,512.0,37.0,0.0,TopCircle
45,5164.0,256.0,35.0,1.0,TopCircle
46,7476.0,512.0,43.0,0.0,TopCircle
47,3616.0,256.0,25.0,0.0,TopCircle
48,2344.0,128.0,17.0,0.0,TopCircle
49,5748.0,512.0,35.0,0.0,TopCircle
50,3888.0,256.0,28.0,1.0,TopCircle
51,2260.0,128.0,19.0,0.0,TopCircle
52,6732.0,512.0,37.0,0.0,TopCircle
53,3720.0,256.0,26.0,0.0,TopCircle
54,3088.0,256.0,20.0,0.0,TopCircle
55,1008.0,128.0,9.0,0.0,TopCircle
56,3868.0,256.0,27.0,0.0,TopCircle
57,3920.0,256.0,26.0,0.0,TopCircle
58,4464.0,256.0,29.0,0.0,TopCircle
59,3644.0,256.0,24.0,0.0,TopCircle
60,4684.0,512.0,26.0,0.0,TopCircle
1,2696.0,256.0,41.0,0.0,TopRandom
2,1428.0,128.0,24.0,0.0,TopRandom
3,2284.0,256.0,35.0,0.0,TopRandom
4,828.0,64.0,19.0,0.0,TopRandom
5,1448.0,128.0,26.0,0.0,TopRandom
6,976.0,64.0,19.0,0.0,TopRandom
7,2320.0,256.0,35.0,0.0,TopRandom
8,788.0,64.0,19.0,0.0,TopRandom
9,2688.0,256.0,39.0,0.0,TopRandom
10,1100.0,64.0,22.0,0.0,TopRandom
11,1880.0,128.0,33.0,0.0,TopRandom
12,1432.0,128.0,28.0,0.0,TopRandom
13,1508.0,128.0,28.0,0.0,TopRandom
14,1576.0,128.0,27.0,0.0,TopRandom
15,744.0,64.0,17.0,0.0,TopRandom
16,1528.0,128.0,32.0,0.0,TopRandom
17,1584.0,128.0,34.0,0.0,TopRandom
18,1188.0,128.0,25.0,0.0,TopRandom
19,412.0,32.0,14.0,0.0,TopRandom
20,996.0,128.0,19.0,0.0,TopRandom
21,1552.0,128.0,32.0,0.0,TopRandom
22,808.0,64.0,20.0,0.0,TopRandom
23,1320.0,128.0,26.0,0.0,TopRandom
24,820.0,64.0,19.0,0.0,TopRandom
25,1080.0,64.0,24.0,0.0,TopRandom
26,572.0,64.0,15.0,0.0,TopRandom
27,1040.0,128.0,24.0,0.0,TopRandom
28,2476.0,256.0,42.0,0.0,TopRandom
29,1344.0,128.0,27.0,0.0,TopRandom
30,664.0,64.0,19.0,0.0,TopRandom
31,768.0,64.0,18.0,0.0,TopRandom
32,648.0,64.0,16.0,0.0,TopRandom
33,1348.0,128.0,28.0,0.0,TopRandom
34,1616.0,128.0,34.0,0.0,TopRandom
35,372.0,32.0,13.0,0.0,TopRandom
36,820.0,64.0,18.0,0.0,TopRandom
37,832.0,64.0,24.0,0.0,TopRandom
38,2620.0,256.0,41.0,0.0,TopRandom
39,984.0,64.0,24.0,0.0,TopRandom
40,1348.0,128.0,30.0,0.0,TopRandom
41,1544.0,128.0,29.0,0.0,TopRandom
42,2008.0,128.0,38.0,0.0,TopRandom
43,612.0,64.0,14.0,0.0,TopRandom
44,1900.0,128.0,37.0,0.0,TopRandom
45,2588.0,256.0,45.0,0.0,TopRandom
46,1436.0,128.0,34.0,0.0,TopRandom
47,676.0,64.0,23.0,0.0,TopRandom
48,2556.0,256.0,47.0,0.0,TopRandom
49,968.0,64.0,24.0,0.0,TopRandom
50,1456.0,128.0,30.0,0.0,TopRandom
51,684.0,64.0,17.0,0.0,TopRandom
52,1088.0,64.0,27.0,0.0,TopRandom
53,860.0,64.0,23.0,0.0,TopRandom
54,1184.0,128.0,24.0,1.0,TopRandom
55,1748.0,128.0,38.0,1.0,TopRandom
56,980.0,64.0,23.0,0.0,TopRandom
57,200.0,16.0,8.0,0.0,TopRandom
58,2484.0,256.0,43.0,0.0,TopRandom
59,1108.0,64.0,25.0,0.0,TopRandom
60,1012.0,64.0,23.0,0.0,TopRandom
